 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21682436    22091431         6.2         6.5        0.95
10000000 / 1095696       0        strings        reverse           1           1    21671080    21963570         6.2         6.6        0.95
10000000 / 1095696       0        strings  reverse_front           1           1    21679185    22252152         6.3         6.5        0.97
10000000 / 1095696       0        strings   reverse_back           1           1    21674059    21661839         6.3         6.6        0.95
10000000 / 1095696       0        strings         sorted          17          16     1095695     1095695       162.5       148.4        1.10
10000000 / 1095696       0        strings reverse_sorted           4           3     3215383     9015072        30.9        18.3        1.69
     10 /      48       2       sawtooth          ident      587254      421573         178         182       228.7       163.6        1.40
     10 /      48       2       sawtooth        reverse      550809      403084         198         201       214.4       156.3        1.37
     10 /      48       2       sawtooth  reverse_front      558277      412090         188         192       217.3       159.8        1.36
     10 /      48       2       sawtooth   reverse_back      568313      412463         188         191       221.4       160.0        1.38
     10 /      48       2       sawtooth         sorted     2437459     1863697          47          47       994.6       751.4        1.32
     10 /      48       2       sawtooth reverse_sorted     2145669     1048102          49          71       868.8       412.9        2.10
     10 /      48       2       sawtooth         dither      590466      426323         178         182       230.0       165.4        1.39
     10 /      48       2           rand          ident      407074      323341         290         268       157.9       125.2        1.26
     10 /      48       2           rand        reverse      407734      324247         272         268       158.1       125.6        1.26
     10 /      48       2           rand  reverse_front      316519      309836         278         275       122.5       120.2        1.02
     10 /      48       2           rand   reverse_back      414954      326909         284         260       160.9       126.5        1.27
     10 /      48       2           rand         sorted     2395301     1857501          47          47       983.5       746.9        1.32
     10 /      48       2           rand reverse_sorted     2254148     1616796          47          47       915.3       646.3        1.42
     10 /      48       2           rand         dither      437046      340512         268         241       169.6       131.8        1.29
     10 /      48       2        stagger          ident      534969      563256         178         124       208.2       219.3        0.95
     10 /      48       2        stagger        reverse      571395      529104         147         124       222.5       205.8        1.08
     10 /      48       2        stagger  reverse_front      527020      515951         184         131       205.1       200.7        1.02
     10 /      48       2        stagger   reverse_back      569225      467385         139         154       221.6       181.5        1.22
     10 /      48       2        stagger         sorted     2415972     1871445          47          47       985.8       753.0        1.31
     10 /      48       2        stagger reverse_sorted      664011      370351         258         285       259.1       143.5        1.81
     10 /      48       2        stagger         dither      442317      343080         252         251       171.7       132.8        1.29
     10 /      48       2        plateau          ident     2423733     1867421          47          47       989.3       751.2        1.32
     10 /      48       2        plateau        reverse     2039053      755296          49         107       823.7       295.5        2.79
     10 /      48       2        plateau  reverse_front     1918578      720944          49         101       772.4       281.7        2.74
     10 /      48       2        plateau   reverse_back     2414973     1868380          47          47       985.6       751.5        1.31
     10 /      48       2        plateau         sorted     2429607     1875848          47          47       990.9       755.3        1.31
     10 /      48       2        plateau reverse_sorted     2023304      745014          49         107       817.2       291.3        2.81
     10 /      48       2        plateau         dither     2417748     1868099          47          47       987.4       751.1        1.31
     10 /      48       2        shuffle          ident      841520      548228         127         146       329.8       213.3        1.55
     10 /      48       2        shuffle        reverse      485539      322658         255         262       188.8       125.0        1.51
     10 /      48       2        shuffle  reverse_front      666220      405406         213         216       260.0       157.3        1.65
     10 /      48       2        shuffle   reverse_back      715517      445880         167         191       279.6       173.1        1.62
     10 /      48       2        shuffle         sorted     2419992     1835452          47          47       988.5       738.0        1.34
     10 /      48       2        shuffle reverse_sorted      609112      373710         273         293       237.4       144.8        1.64
     10 /      48       2        shuffle         dither      437959      332662         268         256       170.0       128.8        1.32
     10 /      96       4       sawtooth          ident      206430      155014         505         537       159.4       119.5        1.33
     10 /      96       4       sawtooth        reverse      192799      146900         601         560       148.8       113.5        1.31
     10 /      96       4       sawtooth  reverse_front      199324      153668         553         544       153.9       118.5        1.30
     10 /      96       4       sawtooth   reverse_back      200920      151502         553         553       155.2       116.8        1.33
     10 /      96       4       sawtooth         sorted     1576114     1327657          95          95      1263.7      1057.2        1.20
     10 /      96       4       sawtooth reverse_sorted     1258780      440983         100         191      1000.4       342.7        2.92
     10 /      96       4       sawtooth         dither      205501      155488         505         537       158.7       119.9        1.32
     10 /      96       4           rand          ident      169766      141077         631         617       131.0       108.8        1.20
     10 /      96       4           rand        reverse      167469      134857         664         640       129.2       104.0        1.24
     10 /      96       4           rand  reverse_front      165215      135505         633         616       127.4       104.5        1.22
     10 /      96       4           rand   reverse_back      169380      139579         662         628       130.7       107.6        1.21
     10 /      96       4           rand         sorted     1592497     1332046          95          95      1278.1      1060.8        1.20
